samples,audio
28000,2262.1494383466234
28001,1608.914285906764
28002,1498.6623014744318
28003,911.3930971060258
28004,51.10627992523928
28005,-115.19854773722568
28006,-1046.5217881988397
28007,-1283.8638482754104
28008,-1640.2251391263394
28009,-1889.6060760950572
28010,-2412.0070785447747
28011,-2030.4285696896377
28012,-1481.8709764214232
28013,-1826.3347291318819
28014,-1553.8202615308564
28015,-277.3280104603102
28016,125.14158429561294
28017,607.5880802043686
28018,1506.0110321824884
28019,1505.4099927966308
28020,2330.7845124680643
28021,2793.1341396804423
28022,2251.458421190738
28023,1512.7569022431908
28024,2272.029126786135
28025,1958.2746376915557
28026,505.4929769772316
28027,243.6836860313275
28028,675.846305839284
28029,-161.01962278712335
28030,-1167.9145589787001
28031,-1524.8389615758592
28032,-1710.793288893885
28033,-2096.7779984865556
28034,-2892.793546908254
28035,-3466.840389474665
28036,-3021.918980022173
28037,-2869.0297706660626
28038,-2951.1732115575765
28039,-3442.3497506399394
28040,-2455.559833403392
28041,-1631.8039026393062
28042,-2011.0823981934195
28043,-1714.3957567182285
28044,-828.744411424568
28045,-230.1287918323892
28046,-566.5493235207508
28047,-110.00642787702623
28048,-171.5005218453207
28049,-429.03201767408336
28050,-36.60132266289884
28051,-306.20883890844345
28052,-955.854963049569
28053,-1172.5400860114942
28054,-831.264592749069
28055,-1144.0288619890864
28056,-1660.833265971599
28057,-1409.6781701902248
28058,-1232.5639331314037
28059,-1082.4909060125792
28060,-136.4594325192886
28061,1582.530151458861
28062,606.477518093332
28063,1017.3823478829277
28064,3770.2443299211664
28065,3401.0631621647485
28066,2484.838551703102
28067,4373.57021502894
28068,5558.257878309783
28069,5069.901277660384
28070,4829.500159415931
28071,5733.054280405952
28072,5435.563408228783
28073,4253.027321526475
28074,4491.44581025996
28075,2746.8186759842993
28076,1514.1457321238283
28077,1089.426804246987
28078,-140.33826965938397
28079,-1596.1496389165186
28080,-1106.0074398812349
28081,-2773.9117956747405
28082,-3717.862815912984
28083,-3569.8605964388416
28084,-3477.9052190564216
28085,-4337.996751267785
28086,-3937.135246012346
28087,-3258.3207414092917
28088,-2456.553260503283
28089,-1841.8328110137381
28090,350.8406149120184
28091,689.467040941426
28092,1143.0465067948992
28093,3751.5790684792755
28094,3723.0647985162113
28095,2768.503786165249
28096,4184.896137641246
28097,4835.241976325864
28098,3093.5414429728544
28099,2409.7946959068613
28100,2966.0019112154237
28101,2420.1632829339273
28102,465.27902322322007
28103,202.34936253961928
28104,-1236.6254502029574
28105,-2183.645147478982
28106,-2993.7094430056945
28107,-4491.818031606085
28108,-5394.970589080704
28109,-4718.166772088518
28110,-4753.406218037002
28111,-6129.688544981629
28112,-5594.013351534939
28113,-3529.3802167853064
28114,-4112.788700225512
28115,-4131.238341691229
28116,-2264.7286613094902
28117,-1533.2591594572145
28118,-842.8293167298134
28119,334.5614060800849
28120,940.9135679938049
28121,550.2277478476967
28122,1489.5045442841456
28123,1447.7445757325627
28124,125.94848038041437
28125,-528.8830838656402
28126,504.250560571581
28127,-916.6498891186101
28128,-2019.5837162027697
28129,-1524.550184480835
28130,-1779.5485383730163
28131,-2520.578003015955
28132,-2227.637784368018
28133,-1324.7270693235932
28134,284.1549741637548
28135,-1079.990803050603
28136,-514.1635314428186
28137,2464.6376770305246
28138,2889.4137287751932
28139,1748.1655483939194
28140,3295.8940785129566
28141,5715.600279600718
28142,5445.285129778589
28143,5034.949624624044
28144,5700.594776966127
28145,7375.221616673402
28146,5421.831190434408
28147,5552.424561530697
28148,4571.002809602504
28149,3700.5670304070513
28150,2273.118335569504
28151,1308.6578523266035
28152,-644.8132767370503
28153,-142.2938939600749
28154,-2652.782826882788
28155,-3381.2788885330983
28156,-3795.7808777198834
28157,-3552.2875793338762
28158,-4829.797764656101
28159,-4672.310191673899
28160,-4156.823605404612
28161,-2986.3367382269753
28162,-2496.8483102202385
28163,-874.3570295110461
28164,-342.8615926281455
28165,318.63931513507384
28166,3035.1470193501623
28167,3001.6628560752915
28168,2879.1881714690317
28169,4559.724321396193
28170,5233.272671025718
28171,3547.8345944206417
28172,3731.4114741200638
28173,3748.0047007131625
28174,3133.615672405256
28175,1222.2457945759136
28176,1249.896479329132
28177,-544.4308549644061
28178,-2009.734784132937
28179,-2765.01387867707
28180,-4231.266704251003
28181,-6115.491822151446
28182,-5469.6877898141565
28183,-5780.853161318007
28184,-6898.986487896405
28185,-6333.086318455994
