Q,reconstruction_leakage_distraction_mean,reconstruction_leakage_distraction_std,reconstruction_leakage_contrast_mean,reconstruction_leakage_contrast_std,target_result_pesq_mean,target_result_pesq_std,target_reconstruction_pesq_mean,target_reconstruction_pesq_std,target_result_stoi_mean,target_result_stoi_std,target_reconstruction_stoi_mean,target_reconstruction_stoi_std,target_result_siib_mean,target_result_siib_std,target_reconstruction_siib_mean,target_reconstruction_siib_std,target_result_mse_mean,target_result_mse_std,target_reconstruction_mse_mean,target_reconstruction_mse_std
1,29.2455350300884,3.41931160735036,9.18161091350011,0.462091841737475,2.50737311939398,0.058248263260731,4.14566344022751,0.020735580404617,0.91571416040728,0.005094149895369,0.987666080424906,0.001043979709852,857.725272954696,54.646359616049,1321.99865615041,4.14850340809721,-7.87273274919938,0.302973661740938,-11.9506005654021,0.291326019021488
3,17.8932646558494,3.22487523263385,11.2696881085951,0.53666977583428,2.76265633106232,0.065397352820087,3.59423971672853,0.056091491347047,0.932259280494598,0.004156261383576,0.964266205103746,0.002382845652732,811.313110962895,39.8217478241036,1122.79696836105,20.4213937135448,-6.64949692612571,0.249844125685502,-7.81072033001265,0.279622265343238
5,11.6375138004315,2.80271710041709,12.0254549434576,0.562251369008937,2.75833040972551,0.062065621626776,3.17401424050331,0.062239647770985,0.926639400006322,0.003838494799183,0.943181956851645,0.00298407963406,721.180234626599,32.5347391741486,897.66127278204,27.4836016587351,-5.45767758242161,0.226462016262599,-6.04443256535216,0.245919053751368
7,7.78504860422046,2.28776156179151,12.3065460543057,0.563505834724513,2.63896035154661,0.057670423269341,2.83420348664125,0.058584187994862,0.914112010921714,0.00385158771097,0.922890700437663,0.003557977153378,621.249845679186,27.8575498485578,712.395520356085,26.8626464706373,-4.55197378263578,0.204022955301607,-4.92610098640018,0.218010948717071
9,5.35583135644446,1.86932975432044,12.3073733676152,0.583297315936761,2.47585334877173,0.052459355515713,2.56336839497089,0.053699290123917,0.897653810428924,0.004465619893459,0.902191918735163,0.004455967600813,527.189282203833,24.2650890591824,572.855902834922,24.0595535737843,-3.84070118398802,0.186342591107073,-4.11534266502897,0.197313926494606
11,3.776666527426,1.52744185025106,12.1344645284022,0.630231565407106,2.30650878945986,0.047314992386016,2.34293237825235,0.048264668006486,0.878308370056805,0.005318367396985,0.880605384658973,0.005413511414814,445.663032762046,20.4547586747719,468.580392841784,20.4532305716055,-3.25366116366396,0.169644544289516,-3.47674773230445,0.1787643328138
13,2.92176619692163,1.2939951681925,11.8141765495021,0.705947501772201,2.1422967761755,0.043596989059593,2.15766361604134,0.044054195480606,0.857364829001835,0.00621241674204,0.858414212408167,0.006356993088859,377.049620218822,17.1979292821712,388.204623816976,17.2179729312984,-2.74989074175692,0.15568576056104,-2.94491621492869,0.163349151546541
15,2.41435706484588,1.13717809313844,11.3368852948849,0.791247542123115,1.99680058161418,0.040354268748236,2.00317448377609,0.040793954732326,0.836263064643878,0.007114304948322,0.836719780646016,0.007250554994034,320.98042515177,14.6384770473235,326.987380145847,14.738582833474,-2.3161519368667,0.142647609909404,-2.49530897136592,0.15068252956641
17,2.17524307447994,1.13704230783199,10.6601834857482,0.904931740141199,1.87309042612712,0.037867349459753,1.87572432557742,0.037986611283566,0.81587930796281,0.008098516017297,0.815944733964025,0.008208978682605,275.583630906616,12.9638780921765,278.760361196922,12.9638285664847,-1.92312281433816,0.131996060183424,-2.10558243840103,0.141891029767302
19,2.43982995570618,1.24419221706706,9.89243617987976,1.03814160157581,1.77416728436947,0.035329367069766,1.77497830241919,0.035439619357741,0.796363321020012,0.00906609518592,0.796208167463916,0.009176661512431,241.285549125214,11.4651946640637,242.910014791378,11.5087287647834,-1.56509857856363,0.12317432161466,-1.75857357262901,0.135823026127787
21,3.0082116248682,1.43768971265651,9.12889029829911,1.16071899684116,1.68962899843852,0.034002417008116,1.68972158183654,0.034025257423281,0.779057031660846,0.009799197928121,0.77879839358348,0.009894719494029,213.504581653687,10.4094915772109,214.63535875089,10.3197156444014,-1.24270768540886,0.115893541756763,-1.45222256493411,0.13128593580501
23,3.73380147439306,1.60730333843591,8.46343453539281,1.27502210888269,1.61825017382701,0.032818685681165,1.61859536667665,0.032725941022264,0.763250097784279,0.010603544268022,0.762812577084799,0.010725546916266,190.300539682766,9.51676382923458,190.865716786531,9.64718999814886,-0.95014405801611,0.110802555665502,-1.17920958408948,0.12653390747052
25,4.56750423192732,1.86687945088474,7.80828040410471,1.43831656922619,1.55998699118694,0.031978312381235,1.56049821774165,0.031904720235757,0.749998168110327,0.011251979029536,0.749250715576421,0.011441545206186,172.898365458717,8.7689617751567,172.990891377437,8.84284660263739,-0.663459126613403,0.112493288806527,-0.924803644958734,0.128469933822703
