,A_0.wav_reconstruction_leakage_distraction_mean,A_0.wav_reconstruction_leakage_distraction_std,A_0.wav_reconstruction_leakage_contrast_mean,A_0.wav_reconstruction_leakage_contrast_std,A_0.wav_target_result_pesq_mean,A_0.wav_target_result_pesq_std,A_0.wav_target_reconstruction_pesq_mean,A_0.wav_target_reconstruction_pesq_std,A_0.wav_target_result_stoi_mean,A_0.wav_target_result_stoi_std,A_0.wav_target_reconstruction_stoi_mean,A_0.wav_target_reconstruction_stoi_std,A_0.wav_target_result_siib_mean,A_0.wav_target_result_siib_std,A_0.wav_target_reconstruction_siib_mean,A_0.wav_target_reconstruction_siib_std,A_0.wav_target_result_mse_mean,A_0.wav_target_result_mse_std,A_0.wav_target_reconstruction_mse_mean,A_0.wav_target_reconstruction_mse_std,A_1.wav_reconstruction_leakage_distraction_mean,A_1.wav_reconstruction_leakage_distraction_std,A_1.wav_reconstruction_leakage_contrast_mean,A_1.wav_reconstruction_leakage_contrast_std,A_1.wav_target_result_pesq_mean,A_1.wav_target_result_pesq_std,A_1.wav_target_reconstruction_pesq_mean,A_1.wav_target_reconstruction_pesq_std,A_1.wav_target_result_stoi_mean,A_1.wav_target_result_stoi_std,A_1.wav_target_reconstruction_stoi_mean,A_1.wav_target_reconstruction_stoi_std,A_1.wav_target_result_siib_mean,A_1.wav_target_result_siib_std,A_1.wav_target_reconstruction_siib_mean,A_1.wav_target_reconstruction_siib_std,A_1.wav_target_result_mse_mean,A_1.wav_target_result_mse_std,A_1.wav_target_reconstruction_mse_mean,A_1.wav_target_reconstruction_mse_std,B_0.wav_reconstruction_leakage_distraction_mean,B_0.wav_reconstruction_leakage_distraction_std,B_0.wav_reconstruction_leakage_contrast_mean,B_0.wav_reconstruction_leakage_contrast_std,B_0.wav_target_result_pesq_mean,B_0.wav_target_result_pesq_std,B_0.wav_target_reconstruction_pesq_mean,B_0.wav_target_reconstruction_pesq_std,B_0.wav_target_result_stoi_mean,B_0.wav_target_result_stoi_std,B_0.wav_target_reconstruction_stoi_mean,B_0.wav_target_reconstruction_stoi_std,B_0.wav_target_result_siib_mean,B_0.wav_target_result_siib_std,B_0.wav_target_reconstruction_siib_mean,B_0.wav_target_reconstruction_siib_std,B_0.wav_target_result_mse_mean,B_0.wav_target_result_mse_std,B_0.wav_target_reconstruction_mse_mean,B_0.wav_target_reconstruction_mse_std,B_1.wav_reconstruction_leakage_distraction_mean,B_1.wav_reconstruction_leakage_distraction_std,B_1.wav_reconstruction_leakage_contrast_mean,B_1.wav_reconstruction_leakage_contrast_std,B_1.wav_target_result_pesq_mean,B_1.wav_target_result_pesq_std,B_1.wav_target_reconstruction_pesq_mean,B_1.wav_target_reconstruction_pesq_std,B_1.wav_target_result_stoi_mean,B_1.wav_target_result_stoi_std,B_1.wav_target_reconstruction_stoi_mean,B_1.wav_target_reconstruction_stoi_std,B_1.wav_target_result_siib_mean,B_1.wav_target_result_siib_std,B_1.wav_target_reconstruction_siib_mean,B_1.wav_target_reconstruction_siib_std,B_1.wav_target_result_mse_mean,B_1.wav_target_result_mse_std,B_1.wav_target_reconstruction_mse_mean,B_1.wav_target_reconstruction_mse_std
1,31.117768338679937,6.767665182411619,8.369603376390776,0.4308861803972608,2.4959678451220193,0.1598416914899472,4.149785995483398,0.05008945148057453,0.9167632631598424,0.009573184136940083,0.9895812627349626,0.0014253276520416192,863.0379328419846,141.86195484378175,1316.4888948476985,9.264243609637788,-7.600996270722303,0.2736928733644355,-12.117084352007607,0.4869278339053391,30.739502200084758,8.538119698958752,8.996597966972194,0.7750048492952555,2.5059070587158203,0.09963856158545381,4.137439290682475,0.05248169227788324,0.9176049841749658,0.00797118023636012,0.989082507704761,0.0013863750464039315,849.6409936535091,132.99274099849242,1325.2386288647083,9.409828570850323,-7.667061005256836,0.5925532667950377,-11.926875022361905,0.9857389823986384,30.848536996940606,10.463353417337421,8.429794244028159,1.3125475170237486,2.3927724361419678,0.14468089030932685,4.115991512934367,0.06409639897489594,0.8980037616179489,0.011299373672333912,0.9837072978097182,0.00330218381838554,833.107158566765,143.55599574435644,1323.1396435618394,12.84389285281236,-7.258825324036711,0.8506089838648809,-11.393813874612611,0.6258997295210396,24.276332584648383,7.781116160840659,10.9304480666093,0.729831557713938,2.6348451375961304,0.12409751766245325,4.179436961809794,0.026655058597195413,0.9304846326763633,0.008927555997046976,0.9882932534501836,0.0009196433653081426,885.115006756525,139.7046665745388,1323.1274573273934,9.42123002176595,-8.964048396781672,0.5111896779936291,-12.364629012626276,0.5771290673540808
3,19.976156249315498,6.855984572055507,10.06304265643575,0.5904464569872392,2.728117068608602,0.16690926779208715,3.5500943859418235,0.1560107622702369,0.9335915418355903,0.006732133914273963,0.9676482048106131,0.004205596327600092,808.2143540121805,107.66519624604814,1122.9155746297567,56.08863510298215,-6.674502711277376,0.2825244105754612,-8.079054594904624,0.3484210892863704,18.69907411777786,7.575522837458859,11.686940887186033,0.8895435163728944,2.7343993385632834,0.12216330097447203,3.602566639582316,0.13074896758546117,0.9369059145751762,0.006390215077621053,0.9667928377803685,0.0045758374317640405,805.3494564156366,94.39513259045316,1119.6851268567718,51.022652138701915,-6.833247469951796,0.7538988758900951,-7.99437893030552,0.951607449428848,19.62358431268046,9.769254954184362,10.289113126191948,1.4852721268621654,2.682700196901957,0.17958388560867533,3.57103838523229,0.15510691586611225,0.917166553553563,0.011278663394381105,0.9575785254830441,0.008152616579379157,797.4016882144238,104.61468000397667,1117.4902334498042,56.30750798023132,-5.988263905698659,0.5294579863186772,-7.167531321207831,0.5808183405952567,13.274243943623665,7.550877438760887,13.03965576456684,0.9034395510554791,2.905408720175425,0.14337681896109533,3.6532594561576843,0.11794429124835082,0.9413731120140604,0.0064614788321744054,0.965045252340956,0.0026109533302161037,834.2869452093379,99.71308962490536,1131.0969385078627,44.9654463423858,-7.101973617575023,0.5590665186743733,-8.001916473632633,0.6042845365630103
5,13.14380766978676,6.263304864398286,10.859222585248965,0.814765731685192,2.7174391547838845,0.15616465533764812,3.1154789328575134,0.16612674400714544,0.9281370254330069,0.007460857134200971,0.9464646894615082,0.006275356480168415,723.5378472706994,91.57837327545644,908.7391601560043,79.84666217260417,-5.6443294871167256,0.27946179994656983,-6.363666446891723,0.29118764713300926,11.43812495600165,6.593883381288448,12.599674829321396,0.9687960778217253,2.7187870939572654,0.14028031514631012,3.156951367855072,0.16894565244773707,0.9289431478465074,0.00784935404039555,0.9433836733498736,0.007256100951259059,710.234273506395,77.6734299935797,884.5677081642339,67.45214662798332,-5.704080184664233,0.7048272886957356,-6.281023982267171,0.8070053024438275,13.173030790105111,8.820024403257795,10.862458973728033,1.443412175528998,2.7341322104136148,0.1711842987354366,3.2050254543622336,0.1678625079238123,0.9163124081744071,0.011340081143096481,0.938216233209701,0.009842314918983353,705.4841163935147,81.84988524890355,887.1877722705455,69.74509660624312,-4.780427785944322,0.4325858834415648,-5.376980539069986,0.4940595426995582,8.795091785832383,6.256757555019863,13.780463385531805,0.9894928582157263,2.8629631797472634,0.13935011440202194,3.2186012069384256,0.11793181413518239,0.9331650185713652,0.0069847391990037755,0.944663231385496,0.00484468601758814,745.4647013357885,78.98135301237016,910.1504505373747,61.71065161462229,-5.701872871961167,0.47189565799219313,-6.156059293179773,0.49590406268560905
7,8.356695065709015,5.412506803132429,11.252389424072701,0.9539306260112586,2.5814052621523538,0.13989414789825227,2.763472020626068,0.14385781446834578,0.9147382254357485,0.00875657167215893,0.9248052672856248,0.00814395318526151,628.0168377679812,77.55959361431178,726.4956813999547,77.02744934085831,-4.804151115930119,0.2662503815332231,-5.258897892824823,0.2681092678830481,7.073706083499277,5.235377083523929,12.828340860967751,1.0209564217610296,2.6013402938842773,0.14038254262825411,2.8034250338872275,0.1575694202851441,0.9117500540029972,0.009805928863451996,0.918843680020184,0.009859900068144856,608.9979424553854,69.05121380155822,696.8579822841513,67.77632371153379,-4.797055418674737,0.6251422626349115,-5.168187107413215,0.6900856186288022,9.665803064013543,7.0550174967056325,11.101221053910846,1.3451727982553354,2.660092075665792,0.1522015719697647,2.8954826394716897,0.14740391310165268,0.9093068651719632,0.010777672901142621,0.9213290732837414,0.01032126725231819,604.4654017404669,67.2674375644516,696.2924882527053,64.45957495618063,-3.9073547449692936,0.3794580317090612,-4.284467123898896,0.42620275189098056,6.043990203659992,5.21548072641084,14.044232878271638,1.0490546224244621,2.7130037744839988,0.13757733864805832,2.874434252580007,0.12853837794615108,0.9206528990761472,0.007703831537377526,0.9265847811611011,0.006504745596819905,643.51920075291,67.72755787895778,729.9359294875279,61.29136970560478,-4.699333850968962,0.39483557632053934,-4.992851821463801,0.41574301809045533
9,5.189485979238295,4.4979136765217795,11.380257977050343,1.1776607923588802,2.415311614672343,0.13000524303548966,2.4934651454289756,0.1343521757933579,0.8970776067956181,0.010545398267918893,0.9023839765675906,0.010376304036893824,532.0135746137383,67.84301099317395,581.6556200664596,66.95512165076207,-4.105219804138736,0.2764281967235229,-4.434558004452577,0.278026265144085,4.66501070737525,4.172891644065868,12.7549110331664,1.187561756771359,2.432428320248922,0.12690410862351653,2.5221084554990134,0.13854308921090963,0.8908919139313473,0.012441341534370598,0.8941575882120548,0.012819424439795557,512.0870015265002,61.50973700983195,556.3634376124236,62.178835597285115,-4.067209075686596,0.5550144200334437,-4.344119264268326,0.6025641045478978,7.168832849703932,5.770162948254949,11.096038034852873,1.2458214566821937,2.5206532080968223,0.12592856792289409,2.6292364796002707,0.12230479932071026,0.8974385903711476,0.010803040496219052,0.9038325910930504,0.010856018893944719,512.4121551737601,55.568337906446345,557.1265208318005,54.84527262629834,-3.232515509653799,0.33168652871660553,-3.507680322587556,0.37001166019629084,4.399995889460356,4.295784663745413,13.998286425391344,1.180729770391583,2.5350202520688376,0.13084166636895134,2.608663499355316,0.12688829241391053,0.9052071306175843,0.009033951746706292,0.9083935190679581,0.008403961548689387,552.2443975013342,58.35633717953843,596.2780328290063,56.84438015259025,-3.9578603464729514,0.3444008691230196,-4.1750130688074085,0.36546360289887114
11,3.5290828812499178,3.9086809485858818,11.286624605232829,1.4606586759412838,2.2358862360318503,0.12190056654640502,2.2690874139467874,0.12398286252643098,0.8757560888916528,0.012806749027802322,0.8783413669462957,0.012910178093950786,449.86271704632117,56.20047083865222,474.98071663677575,56.049094840105994,-3.502588644577145,0.28380263931995353,-3.7664070635794715,0.2839128559455615,3.0630582775444046,3.379734185879101,12.482622894041029,1.413049838904037,2.2649468382199607,0.10961602578661811,2.2993653813997903,0.11371724538222505,0.8678749344495359,0.014729782599031682,0.8692179830616915,0.015114610806422957,429.10766686236155,52.589060664997305,451.7054202428523,52.78794853026915,-3.459131296785823,0.4915977722060325,-3.689057309903367,0.5292673258604124,5.3587301364349,4.576286625079108,10.980699805674787,1.224672124675969,2.3692987163861594,0.11405307058274117,2.4171082774798074,0.11364085159145665,0.8819862711772265,0.011125302314097918,0.8854969782175485,0.011442533553243539,431.720795535479,45.15347281528739,453.8045922755471,45.33174867444404,-2.69204213810227,0.28995662552608215,-2.9157255981774557,0.32575030215337586,3.1557948144747954,3.44251754653439,13.787910808660184,1.3804096941607238,2.355903367201487,0.10644128069323866,2.386168440183004,0.10684019884123597,0.8876161857088047,0.010594123700149338,0.889365210410357,0.010291125200781681,471.9609516040203,48.696996302460036,493.8308422119615,48.448680551209065,-3.3608825751905904,0.30700389339524836,-3.5358009575575022,0.3284326991935531
13,2.604719985207348,3.549346046147953,10.945530500919885,1.7709194102384505,2.068127969900767,0.11026624854868938,2.082100570201874,0.1104214613742669,0.8525218757603915,0.014855312350041672,0.8534670405476219,0.015271381536392847,377.7057751427871,46.444611576520174,389.8796312462036,46.604215720375635,-2.969158596886695,0.28518090175886623,-3.1988548912847263,0.2820290602992417,2.6072314150214537,2.993328330400679,12.009742770928051,1.6718456936182076,2.10157303015391,0.09754044296982034,2.113438735405604,0.09945455869898101,0.8438926366214887,0.01641060686425877,0.8443147047686304,0.016754133111799074,357.84246903013127,43.398688844540686,369.0073127836567,43.36957010334493,-2.9410874139045204,0.4450362069771958,-3.1472915735910596,0.47381484415641273,3.956242048459919,3.703191340934265,10.819068990502997,1.3353675505453637,2.215894321600596,0.10402860407265324,2.2367427150408425,0.10403477499779656,0.8642238679601807,0.012114385455142318,0.8660701879603502,0.012533335442977633,367.2001037890125,38.05874374381551,377.64790409708104,38.00101198201355,-2.233696532101398,0.2582893489766498,-2.4275108470555917,0.29201693274453744,2.5188713389978084,2.838577652518973,13.482363935657512,1.6416095287930954,2.1835917830467224,0.09532553739065897,2.1983724435170493,0.09462563141470204,0.8688209356652806,0.012310900921705059,0.8698049163560652,0.012174085345263763,405.45013291335835,39.3934682826831,416.28364714096296,39.536761270174566,-2.8556204241350662,0.2755695860111227,-3.0060075477833763,0.2974350735112785
15,2.316449113740831,3.330988823943581,10.279262248905992,2.013119431379806,1.9132068157196045,0.093211869457826,1.918529490629832,0.09301754652362315,0.8288052977717434,0.016874629513898953,0.8289930921962759,0.017358889626420182,316.43450782256417,37.96829835994953,324.110098480921,38.21646758413965,-2.504614825600367,0.2709379440259152,-2.719885226533359,0.26934699576962995,2.4224207495754917,2.8127646836299487,11.278696690250092,1.8733584594382169,1.965168575445811,0.08846674717635605,1.9689071277777355,0.08777254151593106,0.8202618396835796,0.018057870265197895,0.8204557308044292,0.018307186784996543,300.1506509419791,36.043603023062985,306.5513281665323,36.71875704384075,-2.5033330768330004,0.4054530615025911,-2.700068026295663,0.4304690204627408,2.9373737585222006,3.0619082071153594,10.643637242310431,1.5272950603202737,2.075618455807368,0.10268722702539368,2.0854720373948417,0.10458041995763667,0.8464140358229586,0.013459013747177506,0.8473286511429804,0.013921390851783566,316.4325154506166,32.581425539538145,321.4562881994671,32.63565216428714,-1.8410432963760544,0.23047240511625455,-2.0128322729849972,0.26791236895432446,1.9811846375449929,2.3372005158434788,13.145944998073205,1.9233037621338092,2.0332084794839225,0.08117865972268634,2.0397892793019614,0.08210543617520294,0.8495710852972289,0.013719684769621043,0.8501016484403787,0.013679767480511251,350.90402639191916,32.08542243539114,355.83180573646706,32.93723738204801,-2.4156165486573915,0.24932752643726008,-2.548450359649658,0.2693729996551619
17,2.3016406776786806,3.5724934191755806,9.334111055875129,2.250318307968056,1.7867951691150665,0.0794473339656585,1.7895668546358745,0.07890601810436815,0.8058057321224373,0.018853818581196835,0.8056802344043256,0.019246348147505032,267.8113673843083,30.69368664831643,271.86858229615103,31.149633484139827,-2.074638939381451,0.2525777638679464,-2.30279989543578,0.2529658360285474,2.421310889135937,3.048289868759166,10.29067408789348,2.0706870154414574,1.8440985878308613,0.08366511320678338,1.844454973936081,0.08085706571218298,0.7971894065051962,0.019422985062840015,0.7971537420940561,0.01954212192188043,254.21475259889974,31.207745275523905,257.3351273623108,31.252875845948665,-2.1117309482291846,0.3672942353498585,-2.320806858706385,0.3938083499199023,2.3126363943013764,2.616272417312473,10.360920112974371,1.850998001342525,1.9570995370546977,0.09748771821684421,1.961085170507431,0.09917458673745816,0.8294035129133633,0.015496388309992337,0.8297455876706922,0.0160409100675194,273.30676272356976,29.387519833812632,275.68333553540566,28.939539471689557,-1.4745115825142598,0.21047537113882053,-1.6396342986936194,0.25676527561848705,1.6653843368037826,2.237515964441388,12.655028686249983,2.2914723249091136,1.904368410507838,0.07225877097162825,1.9077903032302856,0.07375871598855288,0.8311185803102424,0.015421531069232275,0.8311993716870257,0.015464843742023948,307.0016409196857,27.367023466392027,310.1543995938193,27.36186705008356,-2.03160978722775,0.23168460208463548,-2.159088700768354,0.25097677905947346
19,3.1287432934744874,4.145887843110869,8.230867417883623,2.489017707210179,1.6868314146995544,0.06931428703737286,1.687629073858261,0.06835728402806018,0.7838897186725026,0.020571327152348995,0.7836487689036798,0.0208543209251828,232.45793782720966,25.4734563988995,234.28937654461524,25.85953598155494,-1.6778840534209472,0.22730969181301797,-1.9334520601392662,0.2341469808925314,3.0545704757355896,3.502392117870455,9.131610246848096,2.260167814943428,1.7391614317893982,0.07128672673871161,1.739005406697591,0.07056670162592615,0.7749770279119277,0.02046334968429342,0.7745794757180503,0.020647516171532376,217.93581760927614,26.359625521744647,220.17832620038894,27.416326153197218,-1.753772896878365,0.3303722918925418,-1.9863150086926658,0.3594607199626655,2.1161874796281377,2.4293435955033584,10.063211990470778,2.2254935469878974,1.8549919724464417,0.08759836075820449,1.8558620115121205,0.0891481333764601,0.8130550720104419,0.017349437632045994,0.8131184673704474,0.017825973742301437,242.66658513907393,25.483167008774473,244.06119230789878,24.72592648042982,-1.1337457446555514,0.2074624471480282,-1.2941471816158847,0.25869274711776624,1.4598185739864913,2.084308786659167,12.144055064316566,2.6677028988653717,1.8156843185424805,0.0714307300742616,1.8174167176087697,0.07192633540476945,0.8135314654851745,0.017708252810329728,0.8134859578634881,0.017791074394904127,272.0818559252953,23.038089844954484,273.11116411260883,23.663482520968728,-1.6949916192996521,0.21355852745355675,-1.8203800400682193,0.23345453866878407
