fr,tq,tx,dq,dx,x
0.0,inf,inf,0.0,0.0,-240.64017102803354
5.0,252.55542693083123,252.55543508572086,4.907914038287275e-12,4.907909430414041e-12,-242.4903528535114
10.0,145.06460269254913,145.06461129752074,1.1626209898513432e-06,1.1626198380619362e-06,-241.94792342467224
15.0,104.73972986880348,104.73973882439557,0.00012069292167079295,0.00012069279723034277,-243.54846011006686
20.0,83.14751798328274,83.14752755969255,0.0014497475879934232,0.0014497459896114573,-241.4548413873771
25.0,69.64341947157565,69.64343011273839,0.006862736441674636,0.006862728034078694,-242.96307235335325
30.0,60.18612795458877,60.18613961236515,0.02038740246257758,0.020387375099621175,-243.59101915888664
35.0,53.09022812799555,53.09024064078198,0.046148425431032404,0.046148358950222776,-242.67052526705788
40.0,47.713353683140326,47.713367448940645,0.08570390487577728,0.08570376904836574,-243.31825070417176
45.0,43.5220334556709,43.522049009848274,0.13885663011774496,0.13885638146172802,-242.7029146907875
50.0,39.99224901490274,39.99226634459744,0.20847589323334248,0.20847547729207141,-243.02488339880455
55.0,36.95064440751406,36.95066336509509,0.29589394196874463,0.2958932961595655,-242.09729108487954
60.0,34.45808287489524,34.45810396917854,0.39424314465684934,0.39424218721128734,-243.24592923153352
65.0,32.41630424934823,32.41632835059059,0.49871574727158535,0.49871436345796166,-242.46014222612257
70.0,30.573810946170696,30.57383839285569,0.6165634083026325,0.6165614600168937,-242.7343731452354
75.0,28.839798102241986,28.839828725518245,0.7527978826711005,0.7527952285852388,-241.49995102056562
80.0,27.33301147703125,27.33304568861061,0.8954012991656299,0.895397772407454,-242.54711836161005
85.0,26.10337031030687,26.10340943201261,1.0315725533508573,1.0315679071040516,-242.16341277961487
90.0,25.013968812536206,25.014014143452783,1.1694182129172959,1.1694121098393924,-242.1722622568655
95.0,23.922187614537563,23.922239464445738,1.3260469876737506,1.326039071937747,-242.6799168068834
100.0,22.866882162974434,22.866940554023785,1.497352961473668,1.4973428955252812,-242.68647469972382
105.0,21.97109086119997,21.97115702662768,1.66002164551192,1.6600090002184116,-241.6560680420264
110.0,21.244392696344732,21.2444692086858,1.8048813577091847,1.8048654589244262,-242.78580347044556
115.0,20.565606047926238,20.56569531344256,1.951587337596941,1.9515672810957168,-242.9596677702545
120.0,19.839676568444972,19.839779402669052,2.1217023900669507,2.1216772708982123,-243.3045883898841
125.0,19.1142284438793,19.114345127534705,2.306518125645163,2.306487140775489,-243.2731464517285
130.0,18.496239360033684,18.496372060646763,2.476602608597373,2.4765647720385733,-242.15725857766108
135.0,18.008578228487906,18.00873168750047,2.619626545408013,2.619580263245967,-242.37418752339443
140.0,17.56532059355419,17.565500156782406,2.7567809837385875,2.7567239934477947,-243.49157937009784
145.0,17.073095017911655,17.07330371032205,2.917517993109472,2.91744789590892,-241.24970135786975
150.0,16.538666936175034,16.53890557941294,3.102665433064781,3.1025801890673965,-241.42767206529254
155.0,16.04967984204542,16.049950935608152,3.2823455674681425,3.2822431244363814,-242.20508785038146
160.0,15.666735167557576,15.6670460306608,3.4302955162376247,3.4301727500879595,-241.37471568728762
165.0,15.36119323931618,15.361555139248608,3.553109829290129,3.5529617910956515,-242.4505794280775
170.0,15.047789048931122,15.04821241687955,3.68365409128137,3.683474546855482,-241.38126142154522
175.0,14.673330294409197,14.673820371270878,3.8459335772632164,3.8457165874135835,-243.06596506235957
180.0,14.269326814869729,14.26988597600078,4.029043471859738,4.028784107294384,-241.1777472525688
185.0,13.911205948877296,13.911841276332524,4.19863378995845,4.198326693060193,-243.01655259237248
190.0,13.640697578928865,13.641426011427654,4.331451092994062,4.331087855884701,-241.81873792995106
195.0,13.430671425979938,13.431517887647445,4.437462773612009,4.43703035283778,-243.51231691019882
200.0,13.212107857449695,13.213096450797579,4.55053963240812,4.55002173759265,-241.33198792004112
205.0,12.937277994675668,12.938423069993888,4.696825165279674,4.696206015796922,-242.44288152986917
210.0,12.62222416544438,12.62353241720156,4.870315387300344,4.869581885136013,-242.01535702474354
215.0,12.32665210773996,12.328136094904849,5.0388994087095345,5.038038584589603,-241.52187188419413
220.0,12.098272325105967,12.099963204845139,5.173145312021333,5.172138355266019,-242.48681363099683
225.0,11.935785800938078,11.937735315627904,5.270829937332068,5.26964705247517,-241.57547913108124
230.0,11.792759721756283,11.795028396606881,5.358340502546385,5.356941135823746,-241.63172025727187
235.0,11.615009088315773,11.617645986941142,5.469124875033394,5.46746478728032,-240.43966260852505
240.0,11.384128434834665,11.387160469759465,5.616449680883126,5.614489455691835,-241.68557538240526
245.0,11.130157250880757,11.133603439914822,5.783096396678099,5.7808023668062285,-241.41746191019092
250.0,10.903748796793252,10.907650030352187,5.935821796308293,5.933156343661474,-243.26579909897066
255.0,10.737059088628428,10.741500542069588,6.050835407750144,6.047742157085741,-239.88100753000225
260.0,10.623339034231805,10.628450633546777,6.130576869882161,6.126970119762249,-241.42441705858516
265.0,10.523505307550934,10.529435887544764,6.201446889375327,6.197214090493184,-242.56130719418672
270.0,10.393482640955582,10.400357984302644,6.294977207578286,6.28999637006781,-243.26426907044277
275.0,10.215205390897424,10.223103161322456,6.425516223936268,6.419676386018884,-242.5841962878996
280.0,10.008081608431297,10.017054425877205,6.580580612243623,6.573786160202006,-241.58113611653152
285.0,9.812566447151681,9.822702378523076,6.730385986807394,6.722536595999292,-241.1669689158798
290.0,9.661909184903408,9.673388230331312,6.848143225012762,6.839098875065388,-240.53552328914384
295.0,9.56273646500513,9.575850622662045,6.926781219502477,6.916330895596791,-241.63567044644935
300.0,9.492935609605325,9.508057724462148,6.982669931194517,6.970523694474828,-241.23167116563445
305.0,9.41547791687212,9.432982252629628,7.045217386328515,7.031033730270872,-240.56127872525633
310.0,9.300967265881212,9.321142626822194,7.13871313987461,7.1221507634682135,-239.4296867063639
315.0,9.145602959165245,9.168632236780894,7.267551969915427,7.2483087142658675,-238.8662163518507
320.0,8.972061498036368,8.998105609809812,7.414215741423593,7.392017962457615,-241.28870984935594
325.0,8.813826581489948,8.843166453435714,7.550521785239232,7.5250600743995575,-240.85959716273248
330.0,8.69557303551538,8.728727852143436,7.654020873288934,7.624860481225814,-239.94628696286986
335.0,8.62110747916762,8.65887276542253,7.719922137021256,7.6864296340969505,-239.68766359336854
340.0,8.57271808966631,8.616095609757195,7.7630501105630625,7.724377916226397,-238.80071030429775
345.0,8.520781111784729,8.570803029173248,7.809608058382898,7.7647618925698305,-242.6612618627728
350.0,8.439413481626843,8.49693405559637,7.88311060353195,7.831078749260887,-242.29309742764542
355.0,8.320335783609792,8.38593838880277,7.991926936597193,7.931793053175334,-243.78236030980224
360.0,8.176545832038585,8.2506744668421,8.125329889592392,8.05628034802396,-240.57367428285062
365.0,8.033932208354855,8.117198847645938,8.259840929231471,8.181036902404857,-238.52153545872773
370.0,7.917276445989501,8.010783685196557,8.371522941645095,8.281883361102391,-238.6991337292514
375.0,7.838872444646313,7.944409278695275,8.447431364229486,8.345412924463563,-249.0341324132752
380.0,7.794017969057876,7.914046377611157,8.491167256669387,8.374636683719599,-238.86766252446427
