samples,audio
28000,2125.1862157127434
28001,1283.9309292814612
28002,1165.6783764618228
28003,797.4270219488111
28004,-24.82468782493106
28005,-219.078324157108
28006,-841.3354755323157
28007,-1126.597747067352
28008,-1449.866759945549
28009,-1436.1441508403746
28010,-1845.4315713285678
28011,-1744.7306872930699
28012,-1035.043178316029
28013,-1177.3707370621667
28014,-1209.7150686527837
28015,-100.07789003069442
28016,447.5390706836036
28017,703.134074844236
28018,1218.705373940422
28019,1405.2512102648093
28020,2009.76981758936
28021,2078.259421848478
28022,1667.718241829059
28023,1089.1444898671568
28024,1471.5363725509217
28025,1119.8920914295113
28026,91.20984372764372
28027,-220.51217693453043
28028,123.72422018344719
28029,-376.08277632809927
28030,-1239.9349792950543
28031,-1475.8342022215354
28032,-1466.782258548175
28033,-1780.7809609069611
28034,-2535.832120372939
28035,-2791.937545713071
28036,-2428.0990426325266
28037,-2510.3184130186924
28038,-2494.5974541831547
28039,-2791.9379581019257
28040,-2273.3417106541456
28041,-1681.8104908595228
28042,-1857.3460701147255
28043,-1745.950211428948
28044,-1304.6246686588677
28045,-782.3711857431927
28046,-999.1914959369972
28047,-747.0873210460257
28048,-965.0603706611504
28049,-1046.1123413931446
28050,-689.2449161079508
28051,-910.4597631625956
28052,-1460.7585356419117
28053,-1512.142870596223
28054,-1058.6143882801366
28055,-1224.1746913926047
28056,-1528.8253643183964
28057,-1123.5679723711369
28058,-814.4040610380653
28059,-424.3351552266697
28060,562.637241486645
28061,2182.511647605684
28062,1487.2866044612097
28063,1851.9606769551337
28064,4402.532454301948
28065,3906.0005507671904
28066,3046.363606402725
28067,4630.620287778613
28068,5711.769288711318
28069,5016.809330987993
28070,4481.739165086527
28071,5428.557570891091
28072,5141.263358402855
28073,3656.85536844553
28074,3839.332473365395
28075,2605.693577725408
28076,1234.9376189930485
28077,651.0635682214554
28078,29.070430723456866
28079,-1204.0427532619492
28080,-1110.276907911113
28081,-2180.6329211657035
28082,-2661.1116440915794
28083,-2885.713890247065
28084,-2815.440435061089
28085,-3089.292015221651
28086,-2921.26932807513
28087,-2592.373031036919
28088,-1588.6037410138665
28089,-1088.9620338390066
28090,414.5515562809225
28091,900.9365373047003
28092,1207.1924598821029
28093,3081.318917865149
28094,2993.315548804648
28095,2162.182034431583
28096,3030.918101122851
28097,3437.5235203509064
28098,2063.998109116845
28099,1163.3417303664785
28100,1558.5542933889558
28101,1506.6357541975021
28102,-294.4138841081551
28103,-787.5945709980847
28104,-1495.9062081875836
28105,-2152.3486493321197
28106,-3130.9216997421754
28107,-4311.6251161183245
28108,-4534.458606306904
28109,-4271.4218290765675
28110,-4414.514393916054
28111,-5254.735860853423
28112,-4795.085740297027
28113,-3421.56349289842
28114,-3741.168529437433
28115,-3805.900210729562
28116,-2460.757847555873
28117,-1770.7407006155172
28118,-1125.8479805009686
28119,-354.0788476960729
28120,312.5675874030385
28121,92.09226444412934
28122,749.4961730521163
28123,774.7803527393999
28124,-91.0541072066942
28125,-767.0060678593433
28126,299.9256591895353
28127,-588.2576883516917
28128,-1710.5548236780041
28129,-946.9644111139252
28130,-956.485066362173
28131,-1685.115356774643
28132,-1313.8538016455982
28133,-76.6988725269373
28134,1024.3510064346133
28135,-219.70254186147167
28136,542.1421521498908
28137,3141.8868042973236
28138,3049.533176249618
28139,2010.0830750712153
28140,3632.5383527567005
28141,5382.900905744439
28142,4653.1726744095495
28143,4497.355642536339
28144,5018.451836770326
28145,6203.463326050026
28146,4301.392221018583
28147,4650.240673415401
28148,3871.0108754478597
28149,2891.7050591432594
28150,1684.3254956810829
28151,1305.8744947056773
28152,-422.6455963805747
28153,-252.23239314347802
28154,-1962.8834748625818
28155,-2255.596385295944
28156,-2950.368633464065
28157,-2836.1976944528533
28158,-3385.081010235547
28159,-3392.015990513497
28160,-3373.000013575679
28161,-2200.0304271768364
28162,-1673.104549434131
28163,-722.2196697421502
28164,-425.37304970614866
28165,39.4380759066528
28166,2225.2164981978794
28167,1887.9650331510963
28168,1690.686520627394
28169,2996.383823343652
28170,3532.0598258337054
28171,1995.7174333926555
28172,1989.359571004561
28173,2086.9891822537675
28174,1921.6092282201541
28175,140.2226863585854
28176,-21.1674506371221
28177,-929.5581759854017
